No.,Name,Type 1,Type 2,HP,Strength,Max Strength,Dexterity,Max Dexterity,Vitality,Max Vitality,Special,Max Special,Insight,Max Insight,Ability 1,Ability 2,Hidden Ability,Event Abilities,Unevolved?,Has a form?,Recommended Rank,Gender Type,Tough,Beauty,Cool,Cute,Clever,Brawl,Channel,Clash,Evasion,Alert,Athletic,Nature,Stealth,Allure,Etiquette,Intimidate,Perform
167,Mega-Gyarados,Water,Dark,8,4,8,2,5,3,6,2,5,3,7,Mold Breaker,,,,,,Pro,,,,,,,,,,,,,,,,,,
168,Lapras,Water,Ice,6,2,5,2,4,2,5,2,5,3,6,Water Absorb,Shell Armor,Hydration,,,,Amateur,,,,,,,,,,,,,,,,,,
169,Ditto,Normal,,4,2,4,2,4,2,4,2,4,2,4,Limber,,Imposter,,,,Amateur,N,,,,,,,,,,,,,,,,,
170,Eevee,Normal,,3,2,4,2,4,2,4,2,4,2,4,Run Away,Adaptability,Anticipation,,Yes,Yes,Beginner,,,,,,,,,,,,,,,,,,
171,Vaporeon,Water,,6,2,4,2,4,2,4,3,6,3,6,Water Absorb,,Hydration,,,,Amateur,,,,,,,,,,,,,,,,,,
172,Jolteon,Electric,,4,2,4,3,7,2,4,3,6,3,6,Volt Absorb,,Quick Feet,,,,Amateur,,,,,,,,,,,,,,,,,,
173,Flareon,Fire,,6,3,7,2,4,2,4,3,6,3,6,Flash Fire,,Guts,,,,Amateur,,,,,,,,,,,,,,,,,,
174,Porygon,Normal,,3,2,4,1,3,2,5,2,5,2,5,Trace,Download,Analytic,,Yes,,Beginner,N,,,,,,,,,,,,,,,,,
175,Omanyte,Rock,Water,3,1,3,1,3,3,6,2,5,2,4,Swift Swim,Shell Armor,Weak Armor,,Yes,,Beginner,,,,,,,,,,,,,,,,,,
176,Omastar,Rock,Water,4,2,4,2,4,3,7,3,6,2,5,Swift Swim,Shell Armor,Weak Armor,,,,Ace,,,,,,,,,,,,,,,,,,
177,Kabuto,Rock,Water,3,2,5,2,4,2,5,2,4,2,4,Swift Swim,Battle Armor,Weak Armor,,Yes,,Beginner,,,,,,,,,,,,,,,,,,
178,Kabutops,Rock,Water,4,3,6,2,5,3,6,2,4,2,5,Swift Swim,Battle Armor,Weak Armor,,,,Ace,,,,,,,,,,,,,,,,,,
179,Aerodactyl,Rock,Flying,4,3,6,3,7,2,4,2,4,2,5,Rock Head,Pressure,Unnerve,,,Yes,Ace,,,,,,,,,,,,,,,,,,
180,Mega-Aerodactyl,Rock,Flying,5,3,7,3,7,2,5,2,5,3,6,Tough Claws,,,,,,Pro,,,,,,,,,,,,,,,,,,
181,Snorlax,Normal,,8,3,6,1,3,2,4,2,4,3,6,Immunity,Thick Fat,Gluttony,,,,Amateur,,,,,,,,,,,,,,,,,,
182,Articuno,Ice,Flying,4,5,5,5,5,6,6,6,6,7,7,Pressure,,Snow Cloak,,,,Master,N,,,,,,,,,,,,,,,,,
183,Zapdos,Electric,Flying,4,5,5,6,6,5,5,7,7,5,5,Pressure,,Static,,,,Master,N,,,,,,,,,,,,,,,,,
184,Moltres,Fire,Flying,4,6,6,5,5,5,5,7,7,5,5,Pressure,,Flame Body,,,,Master,N,,,,,,,,,,,,,,,,,
185,Dratini,Dragon,,3,2,4,2,4,2,4,2,4,2,4,Shed Skin,,Marvel Scale,,Yes,,Amateur,,,,,,,,,,,,,,,,,,
186,Dragonair,Dragon,,6,2,5,2,5,2,4,2,5,2,5,Shed Skin,,Marvel Scale,,Yes,,Ace,,,,,,,,,,,,,,,,,,
187,Dragonite,Dragon,Flying,6,3,7,2,5,3,6,3,6,3,6,Inner Focus,,Multiscale,,,,Master,,,,,,,,,,,,,,,,,,
188,Mewtwo,Psychic,,5,6,6,7,7,5,5,8,8,5,5,Pressure,,Unnerve,,,Yes,Master,N,,,,,,,,,,,,,,,,,
189,Mega-Mewtwo X,Psychic,Fighting,6,9,9,7,7,6,6,7,7,6,6,Steadfast,,,,,,Master,N,,,,,,,,,,,,,,,,,
190,Mega-Mewtwo Y,Psychic,,6,8,8,7,7,5,5,10,10,7,7,Insomnia,,,,,,Master,N,,,,,,,,,,,,,,,,,
191,Mew,Psychic,,5,6,6,6,6,6,6,6,6,6,6,Synchronize,,,,,,Master,N,,,,,,,,,,,,,,,,,
192,Chikorita,Grass,,3,2,4,2,4,2,4,2,4,2,4,Overgrow,,Leaf Guard,,Yes,,Starter,,,,,,,,,,,,,,,,,,
193,Bayleef,Grass,,4,2,4,2,4,2,5,2,4,2,5,Overgrow,,Leaf Guard,,Yes,,Amateur,,,,,,,,,,,,,,,,,,
194,Meganium,Grass,,5,2,5,2,5,3,6,2,5,3,6,Overgrow,,Leaf Guard,,,Yes,Ace,,,,,,,,,,,,,,,,,,
195,Cyndaquil,Fire,,3,2,4,2,4,1,3,2,4,2,4,Blaze,,Flash Fire,,Yes,,Starter,,,,,,,,,,,,,,,,,,
196,Quilava,Fire,,4,2,4,2,5,2,4,2,5,2,4,Blaze,,Flash Fire,,Yes,,Amateur,,,,,,,,,,,,,,,,,,
197,Typhlosion,Fire,,5,2,5,3,6,2,5,3,6,2,5,Blaze,,Flash Fire,,,Yes,Ace,,,,,,,,,,,,,,,,,,
198,Totodile,Water,,3,2,4,1,3,2,4,1,3,2,4,Torrent,,Sheer Force,,Yes,,Beginner,,,,,,,,,,,,,,,,,,
199,Croconaw,Water,,4,2,5,2,4,2,5,2,4,2,4,Torrent,,Sheer Force,,Yes,,Amateur,,,,,,,,,,,,,,,,,,
200,Feraligatr,Water,,5,3,6,2,5,3,6,2,5,2,5,Torrent,,Sheer Force,,,Yes,Ace,,,,,,,,,,,,,,,,,,
201,Sentret,Normal,,3,2,4,1,3,1,3,1,3,2,4,Run Away,Keen Eye,Frisk,,Yes,,Starter,,,,,,,,,,,,,,,,,,
202,Furret,Normal,,4,2,5,2,4,2,4,2,4,2,5,Run Away,Keen Eye,Frisk,,,,Amateur,,,,,,,,,,,,,,,,,,
203,Hoothoot,Normal,Flying,3,1,3,1,3,1,3,2,4,2,4,Insomnia,Keen Eye,Tinted Lens,,Yes,,Beginner,,,,,,,,,,,,,,,,,,
204,Noctowl,Normal,Flying,5,2,5,2,5,2,4,2,5,3,6,Insomnia,Keen Eye,Tinted Lens,,,,Amateur,,,,,,,,,,,,,,,,,,
205,Ledyba,Bug,Flying,3,1,3,2,4,1,3,1,3,2,5,Swarm,Early Bird,Rattled,,Yes,,Beginner,,,,,,,,,,,,,,,,,,
206,Ledian,Bug,Flying,4,1,3,2,5,2,4,2,4,3,6,Swarm,Early Bird,Iron Fist,,,,Amateur,,,,,,,,,,,,,,,,,,
207,Spinarak,Bug,Poison,3,2,4,1,3,1,3,1,3,1,3,Swarm,Insomnia,Sniper,,Yes,,Starter,,,,,,,,,,,,,,,,,,
208,Ariados,Bug,Poison,4,2,5,1,3,2,5,2,4,2,5,Swarm,Insomnia,Sniper,,,,Amateur,,,,,,,,,,,,,,,,,,
209,Crobat,Poison,Flying,5,2,5,3,7,2,5,2,5,2,5,Inner Focus,,Infiltrator,,,,Ace,,,,,,,,,,,,,,,,,,
210,Chinchou,Water,Electric,3,1,3,2,4,1,3,2,4,2,4,Volt Absorb,Illuminate,Water Absorb,,Yes,,Beginner,,,,,,,,,,,,,,,,,,
211,Lanturn,Water,Electric,6,2,4,2,4,2,4,2,5,2,5,Volt Absorb,Illuminate,Water Absorb,,,,Amateur,,,,,,,,,,,,,,,,,,
212,Pichu,Electric,,3,1,3,2,4,1,2,1,3,1,3,Static,,Lightning Rod,,Yes,,Starter,,,,,,,,,,,,,,,,,,
213,Cleffa,Fairy,,3,1,3,1,2,1,3,2,4,2,4,Cute Charm,Magic Guard,Friend Guard,,Yes,,Starter,,,,,,,,,,,,,,,,,,
214,Igglybuff,Normal,Fairy,3,1,3,1,2,1,2,1,3,1,3,Cute Charm,Competitive,Friend Guard,,Yes,,Starter,,,,,,,,,,,,,,,,,,
215,Togepi,Fairy,,3,1,3,1,3,2,4,1,3,2,4,Hustle,Serene Grace,Super Luck,,Yes,,Starter,,,,,,,,,,,,,,,,,,
216,Togetic,Fairy,Flying,4,1,3,1,3,2,5,2,5,3,6,Hustle,Serene Grace,Super Luck,,Yes,,Amateur,,,,,,,,,,,,,,,,,,
217,Natu,Psychic,Flying,3,2,4,2,5,2,4,2,5,2,4,Synchronize,Early Bird,Magic Bounce,,Yes,,Beginner,,,,,,,,,,,,,,,,,,
218,Xatu,Psychic,Flying,4,2,5,3,6,2,5,3,6,2,5,Synchronize,Early Bird,Magic Bounce,,,,Amateur,,,,,,,,,,,,,,,,,,
219,Mareep,Electric,,3,1,3,1,3,1,3,2,4,2,4,Static,,Plus,,Yes,,Beginner,,,,,,,,,,,,,,,,,,
220,Flaaffy,Electric,,4,2,4,2,4,2,4,2,5,2,4,Static,,Plus,,Yes,,Amateur,,,,,,,,,,,,,,,,,,
221,Ampharos,Electric,,5,2,5,2,4,2,5,3,6,2,5,Static,,Plus,,,Yes,Ace,,,,,,,,,,,,,,,,,,
222,Mega-Ampharos,Electric,Dragon,6,3,6,2,4,3,6,4,8,3,6,Mold Breaker,,,,,,Pro,,,,,,,,,,,,,,,,,,
223,Bellossom,Grass,,5,2,5,2,4,2,5,2,5,3,6,Chlorophyll,,Healer,,,,Amateur,,,,,,,,,,,,,,,,,,
224,Marill,Water,Fairy,4,1,3,1,3,2,4,1,3,2,4,Thick Fat,Huge Power,Sap Sipper,,Yes,,Beginner,,,,,,,,,,,,,,,,,,
225,Azumarill,Water,Fairy,5,2,4,2,4,2,5,2,4,2,5,Thick Fat,Huge Power,Sap Sipper,,,,Amateur,,,,,,,,,,,,,,,,,,
226,Sudowoodo,Rock,,4,3,6,1,3,3,6,1,3,2,4,Sturdy,Rock Head,Rattled,,,Yes,Amateur,,,,,,,,,,,,,,,,,,
227,Politoed,Water,,5,2,5,2,4,2,5,2,5,3,6,Water Absorb,Damp,Drizzle,,,Yes,Amateur,,,,,,,,,,,,,,,,,,
228,Hoppip,Grass,Flying,3,1,3,2,4,1,3,1,3,2,4,Chlorophyll,Leaf Guard,Infiltrator,,Yes,,Starter,,,,,,,,,,,,,,,,,,
229,Skiploom,Grass,Flying,4,2,4,2,5,2,4,2,4,2,4,Chlorophyll,Leaf Guard,Infiltrator,,Yes,,Beginner,,,,,,,,,,,,,,,,,,
230,Jumpluff,Grass,Flying,5,2,4,3,6,2,5,2,4,2,5,Chlorophyll,Leaf Guard,Infiltrator,,,,Amateur,,,,,,,,,,,,,,,,,,
231,Aipom,Normal,,3,2,5,2,5,2,4,1,3,2,4,Run Away,Pickup,Skill Link,,Yes,,Beginner,,,,,,,,,,,,,,,,,,
232,Sunkern,Grass,,3,1,3,1,3,1,3,1,3,1,3,Chlorophyll,Solar Power,Early Bird,,Yes,,Starter,,,,,,,,,,,,,,,,,,
233,Sunflora,Grass,,4,2,5,1,3,2,4,3,6,2,5,Chlorophyll,Solar Power,Early Bird,,,Yes,Beginner,,,,,,,,,,,,,,,,,,
234,Yanma,Bug,Flying,3,2,4,3,6,2,4,2,5,2,4,Speed Boost,Compound Eyes,Frisk,,Yes,,Amateur,,,,,,,,,,,,,,,,,,
235,Wooper,Water,Ground,3,2,4,1,2,2,4,1,3,1,3,Damp,Water Absorb,Unaware,,Yes,,Beginner,,,,,,,,,,,,,,,,,,
236,Quagsire,Water,Ground,4,2,5,1,3,3,6,2,4,2,4,Damp,Water Absorb,Unaware,,,,Amateur,,,,,,,,,,,,,,,,,,
237,Espeon,Psychic,,4,2,4,3,6,2,4,3,7,3,6,Synchronize,,Magic Bounce,,,,Amateur,,,,,,,,,,,,,,,,,,
238,Umbreon,Dark,,4,2,4,2,4,3,6,2,4,3,7,Synchronize,,Inner Focus,,,,Amateur,,,,,,,,,,,,,,,,,,
239,Murkrow,Dark,Flying,3,2,5,1,3,2,5,2,5,1,3,Insomnia,Super Luck,Prankster,,Yes,,Beginner,,,,,,,,,,,,,,,,,,
240,Slowking,Water,Psychic,4,2,5,1,3,2,5,3,6,3,6,Oblivious,Own Tempo,Regenerator,,,,Ace,,,,,,,,,,,,,,,,,,
241,Misdreavus,Ghost,,3,2,4,2,5,2,4,2,5,2,5,Levitate,,,,Yes,,Amateur,,,,,,,,,,,,,,,,,,
242,Unown,Psychic,,4,2,5,2,4,2,4,2,5,2,4,Levitate,,,,,,Starter,N,,,,,,,,,,,,,,,,,
243,Wobbuffet,Psychic,,9,1,3,1,3,3,6,1,3,3,6,Shadow Tag,,Telepathy,,,,Amateur,,,,,,,,,,,,,,,,,,
244,Girafarig,Normal,Psychic,4,2,5,2,5,2,4,2,5,2,4,Inner Focus,Early Bird,Sap Sipper,,,Yes,Amateur,,,,,,,,,,,,,,,,,,
245,Pineco,Bug,,3,2,4,1,2,2,5,1,3,1,3,Sturdy,,Overcoat,,Yes,,Beginner,,,,,,,,,,,,,,,,,,
246,Forretress,Bug,Steel,4,2,5,1,3,3,7,2,4,2,4,Sturdy,,Overcoat,,,,Amateur,,,,,,,,,,,,,,,,,,
247,Dunsparce,Normal,,5,2,5,2,4,2,5,2,4,2,4,Serene Grace,Run Away,Rattled,,,,Amateur,,,,,,,,,,,,,,,,,,
248,Gligar,Ground,Flying,3,2,5,2,5,3,6,1,3,2,4,Hyper Cutter,Sand Veil,Immunity,,Yes,,Beginner,,,,,,,,,,,,,,,,,,
249,Steelix,Steel,Ground,9,2,5,1,3,5,10,2,4,2,4,Rock Head,Sturdy,Sheer Force,,,Yes,Pro,,,,,,,,,,,,,,,,,,
250,Mega-Steelix,Steel,Ground,10,3,7,1,2,5,11,2,4,3,6,Sand Force,,,,,,Master,,,,,,,,,,,,,,,,,,
251,Snubbull,Fairy,,3,2,5,1,3,2,4,1,3,1,3,Intimidate,Run Away,Rattled,,Yes,,Starter,,,,,,,,,,,,,,,,,,
252,Granbull,Fairy,,4,3,7,2,4,2,5,2,4,2,4,Intimidate,Quick Feet,Rattled,,,,Beginner,,,,,,,,,,,,,,,,,,
253,Qwilfish,Water,Poison,4,3,6,2,5,2,5,2,4,2,4,Poison Point,Swift Swim,Intimidate,,,,Amateur,,,,,,,,,,,,,,,,,,
254,Scizor,Bug,Steel,4,3,7,2,4,3,6,2,4,2,4,Swarm,Technician,Light Metal,,,Yes,Ace,,,,,,,,,,,,,,,,,,
255,Mega-Scizor,Bug,Steel,5,4,8,2,5,3,7,2,4,3,6,Technician,,,,,,Pro,,,,,,,,,,,,,,,,,,
256,Shuckle,Bug,Rock,4,1,2,1,2,5,10,1,2,5,10,Sturdy,Gluttony,Contrary,,,,Amateur,,,,,,,,,,,,,,,,,,
257,Heracross,Bug,Fighting,4,3,6,2,5,2,5,1,3,3,6,Swarm,Guts,Moxie,,,Yes,Amateur,,,,,,,,,,,,,,,,,,
258,Mega-Heracross,Bug,Fighting,5,4,9,2,5,3,6,1,2,3,6,Skill Link,,,,,,Ace,,,,,,,,,,,,,,,,,,
259,Sneasel,Dark,Ice,3,3,6,3,6,2,4,1,3,2,5,Inner Focus,Keen Eye,Pickpocket,,Yes,,Amateur,,,,,,,,,,,,,,,,,,
260,Teddiursa,Normal,,3,2,5,1,3,2,4,2,4,2,4,Pickup,Quick Feet,Honey Gather,,Yes,,Beginner,,,,,,,,,,,,,,,,,,
261,Ursaring,Normal,,4,3,7,2,4,2,5,2,5,2,5,Guts,Quick Feet,Unnerve,,,,Ace,,,,,,,,,,,,,,,,,,
262,Slugma,Fire,,3,1,3,1,3,1,3,2,4,1,3,Magma Armor,Flame Body,Weak Armor,,Yes,,Beginner,,,,,,,,,,,,,,,,,,
263,Magcargo,Fire,Rock,4,2,4,1,3,3,7,2,5,2,5,Magma Armor,Flame Body,Weak Armor,,,Yes,Amateur,,,,,,,,,,,,,,,,,,
264,Swinub,Ice,Ground,3,2,4,2,4,1,3,1,3,1,3,Oblivious,Snow Cloak,Thick Fat,,Yes,,Beginner,,,,,,,,,,,,,,,,,,
265,Piloswine,Ice,Ground,4,3,6,2,4,2,5,2,4,2,4,Oblivious,Snow Cloak,Thick Fat,,Yes,,Amateur,,,,,,,,,,,,,,,,,,
266,Corsola,Water,Rock,4,2,4,1,3,3,6,2,4,3,6,Hustle,Natural Cure,Regenerator,,,,Amateur,,,,,,,,,,,,,,,,,,
267,Galarian Corsola,Ghost,,3,2,4,1,3,3,6,2,4,3,6,Weak Armor,,Cursed Body,,Yes,,Amateur,,,,,,,,,,,,,,,,,,
268,Remoraid,Water,,3,2,4,2,4,1,3,2,4,1,3,Hustle,Sniper,Moody,,Yes,,Beginner,,,,,,,,,,,,,,,,,,
269,Octillery,Water,,4,3,6,2,4,2,5,3,6,2,5,Suction Cups,Sniper,Moody,,,,Amateur,,,,,,,,,,,,,,,,,,
270,Delibird,Ice,Flying,4,2,4,2,5,2,4,2,4,2,4,Vital Spirit,Hustle,Insomnia,,,,Amateur,,,,,,,,,,,,,,,,,,
271,Mantine,Water,Flying,4,1,3,2,5,2,5,2,5,3,7,Swift Swim,Water Absorb,Water Veil,,,,Amateur,,,,,,,,,,,,,,,,,,
272,Skarmory,Steel,Flying,4,2,5,2,5,3,7,1,3,2,5,Keen Eye,Sturdy,Weak Armor,,,,Ace,,,,,,,,,,,,,,,,,,
273,Houndour,Dark,Fire,3,2,4,2,4,1,3,2,5,2,4,Early Bird,Flash Fire,Unnerve,,Yes,,Beginner,,,,,,,,,,,,,,,,,,
274,Houndoom,Dark,Fire,4,2,5,3,6,2,4,3,6,2,5,Early Bird,Flash Fire,Unnerve,,,Yes,Amateur,,,,,,,,,,,,,,,,,,
275,Mega-Houndoom,Dark,Fire,5,2,5,3,6,2,5,4,8,2,5,Solar Power,,,,,,Ace,,,,,,,,,,,,,,,,,,
276,Kingdra,Water,Dragon,5,3,6,2,5,3,6,3,6,3,6,Swift Swim,Sniper,Damp,,,,Ace,,,,,,,,,,,,,,,,,,
277,Phanpy,Ground,,3,2,4,1,3,2,4,1,3,1,3,Pickup,,Sand Veil,,Yes,,Beginner,,,,,,,,,,,,,,,,,,
278,Donphan,Ground,,4,3,7,2,4,3,6,2,4,2,4,Pickup,,Sand Veil,,,,Amateur,,,,,,,,,,,,,,,,,,
279,Porygon2,Normal,,4,2,5,2,4,2,5,3,6,3,6,Trace,Download,Analytic,,Yes,,Ace,N,,,,,,,,,,,,,,,,,
280,Stantler,Normal,,5,3,6,2,5,2,4,1,5,2,4,Intimidate,Frisk,Sap Sipper,,,,Amateur,,,,,,,,,,,,,,,,,,
281,Smeargle,Normal,,4,1,3,3,6,2,4,1,3,3,6,Own Tempo,Technician,Moody,,,,Amateur,,,,,,,,,,,,,,,,,,
282,Tyrogue,Fighting,,3,1,3,1,3,1,3,1,3,1,3,Guts,Steadfast,Vital Spirit,,Yes,,Beginner,M,,,,,,,,,,,,,,,,,
283,Hitmontop,Fighting,,4,3,6,2,5,3,6,1,3,3,6,Intimidate,Technician,Steadfast,,,,Ace,,,,,,,,,,,,,,,,,,
284,Smoochum,Ice,Psychic,3,1,3,2,4,1,2,2,5,2,4,Oblivious,Forewarn,Hydration,,Yes,,Starter,F,,,,,,,,,,,,,,,,,
285,Elekid,Electric,,3,2,4,2,5,1,3,2,4,2,4,Static,,Vital Spirit,,Yes,,Beginner,,,,,,,,,,,,,,,,,,
286,Magby,Fire,,3,2,4,2,4,1,3,1,3,1,3,Flame Body,,Vital Spirit,,Yes,,Beginner,,,,,,,,,,,,,,,,,,
287,Miltank,Normal,,4,2,5,3,6,3,6,1,3,2,5,Thick Fat,Scrappy,Sap Sipper,,,Yes,Amateur,F,,,,,,,,,,,,,,,,,
288,Blissey,Normal,,12,1,2,2,4,1,2,2,5,3,7,Natural Cure,Serene Grace,Healer,,,,Ace,F,,,,,,,,,,,,,,,,,
289,Raikou,Electric,,4,5,5,7,7,5,5,6,6,6,6,Pressure,,Inner Focus,,,,Master,N,,,,,,,,,,,,,,,,,
290,Entei,Fire,,5,7,7,6,6,5,5,5,5,5,5,Pressure,,Inner Focus,,,,Master,N,,,,,,,,,,,,,,,,,
291,Suicune,Water,,5,5,5,5,5,6,6,5,5,6,6,Pressure,,Inner Focus,,,,Master,N,,,,,,,,,,,,,,,,,
292,Larvitar,Rock,Ground,3,2,4,1,3,2,4,2,4,2,4,Guts,,Sand Veil,,Yes,,Amateur,,,,,,,,,,,,,,,,,,
293,Pupitar,Rock,Ground,4,2,5,2,4,2,5,2,4,2,5,Shed Skin,,,,Yes,,Ace,,,,,,,,,,,,,,,,,,
294,Tyranitar,Rock,Dark,6,3,7,2,5,3,6,3,6,3,6,Sand Stream,,Unnerve,,,Yes,Pro,,,,,,,,,,,,,,,,,,
295,Mega-Tyranitar,Rock,Dark,7,4,8,2,5,4,8,3,6,3,7,Sand Stream,,,,,,Master,,,,,,,,,,,,,,,,,,
296,Lugia,Flying,Psychic,6,5,5,6,6,7,7,5,5,7,7,Pressure,,Multiscale,,,,Master,N,,,,,,,,,,,,,,,,,
297,Ho-oh,Fire,Flying,5,7,7,5,5,5,5,6,6,7,7,Pressure,,Regenerator,,,,Master,N,,,,,,,,,,,,,,,,,
298,Celebi,Grass,Psychic,5,6,6,6,6,6,6,6,6,6,6,Natural Cure,,,,,,Master,N,,,,,,,,,,,,,,,,,
299,Treecko,Grass,,3,2,4,2,5,1,3,2,4,2,4,Overgrow,,Unburden,,Yes,,Beginner,,,,,,,,,,,,,,,,,,
300,Grovyle,Grass,,4,2,4,3,6,2,4,2,5,2,4,Overgrow,,Unburden,,Yes,,Amateur,,,,,,,,,,,,,,,,,,
301,Sceptile,Grass,,5,2,5,3,7,2,4,3,6,2,5,Overgrow,,Unburden,,,Yes,Ace,,,,,,,,,,,,,,,,,,
302,Mega-Sceptile,Grass,Dragon,6,3,6,4,8,2,5,4,8,2,5,Lightning Rod,,,,,,Pro,,,,,,,,,,,,,,,,,,
303,Torchic,Fire,,3,2,4,2,4,1,3,2,5,2,4,Blaze,,Speed Boost,,Yes,,Starter,,,,,,,,,,,,,,,,,,
304,Combusken,Fire,Fighting,4,2,5,2,4,2,4,2,5,2,4,Blaze,,Speed Boost,,Yes,,Amateur,,,,,,,,,,,,,,,,,,
305,Blaziken,Fire,Fighting,5,3,7,2,5,2,5,3,6,2,5,Blaze,,Speed Boost,,,Yes,Ace,,,,,,,,,,,,,,,,,,
306,Mega-Blaziken,Fire,Fighting,6,4,8,3,6,2,5,3,7,2,5,Speed Boost,,,,,,Pro,,,,,,,,,,,,,,,,,,
307,Mudkip,Water,,3,2,5,1,3,2,4,2,4,2,4,Torrent,,Damp,,Yes,,Starter,,,,,,,,,,,,,,,,,,
308,Marshtomp,Water,Ground,4,2,5,2,4,2,5,2,4,2,5,Torrent,,Damp,,Yes,,Amateur,,,,,,,,,,,,,,,,,,
309,Swampert,Water,Ground,6,3,6,2,4,2,5,2,5,2,5,Torrent,,Damp,,,Yes,Ace,,,,,,,,,,,,,,,,,,
310,Mega-Swampert,Water,Ground,7,4,8,2,5,3,6,3,6,3,6,Swift Swim,,,,,,Pro,,,,,,,,,,,,,,,,,,
311,Poochyena,Dark,,3,2,4,2,4,1,3,1,3,1,3,Run Away,Quick Feet,Rattled,,Yes,,Beginner,,,,,,,,,,,,,,,,,,
312,Mightyena,Dark,,4,3,6,2,5,2,5,2,4,2,4,Intimidate,Quick Feet,Moxie,,,,Amateur,,,,,,,,,,,,,,,,,,
313,Zigzagoon,Normal,,3,1,3,2,4,1,3,1,3,1,3,Pickup,Gluttony,Quick Feet,,Yes,,Beginner,,,,,,,,,,,,,,,,,,
314,Galarian Zigzagoon,Dark,Normal,3,1,3,2,4,1,3,1,3,1,3,Pickup,Gluttony,Quick Feet,,,,Beginner,,,,,,,,,,,,,,,,,,
315,Linoone,Normal,,4,2,5,3,6,2,4,2,4,2,4,Pickup,Gluttony,Quick Feet,,,,Amateur,,,,,,,,,,,,,,,,,,
316,Galarian Linoone,Dark,Normal,4,2,5,3,6,2,4,2,4,2,4,Pickup,Gluttony,Quick Feet,,Yes,,Amateur,,,,,,,,,,,,,,,,,,
317,Wurmple,Bug,,3,2,4,1,3,1,3,1,3,1,3,Shield Dust,,Run Away,,Yes,,Starter,,,,,,,,,,,,,,,,,,
318,Silcoon,Bug,,4,2,4,1,2,2,4,1,3,1,3,Shed Skin,,,,Yes,,Beginner,,,,,,,,,,,,,,,,,,
319,Beautifly,Bug,Flying,5,2,5,2,4,2,4,3,6,2,4,Swarm,,Rivalry,,,,Amateur,,,,,,,,,,,,,,,,,,
320,Cascoon,Bug,,4,2,4,1,2,2,4,1,3,1,3,Shed Skin,,,,Yes,,Beginner,,,,,,,,,,,,,,,,,,
321,Dustox,Bug,Poison,5,2,4,2,4,3,6,2,4,2,5,Shield Dust,,Compound Eyes,,,,Amateur,,,,,,,,,,,,,,,,,,
322,Lotad,Water,Grass,3,1,3,1,3,1,3,1,3,2,4,Swift Swim,Rain Dish,Own Tempo,,Yes,,Starter,,,,,,,,,,,,,,,,,,
323,Lombre,Water,Grass,4,2,4,2,4,2,4,2,4,2,5,Swift Swim,Rain Dish,Own Tempo,,Yes,,Beginner,,,,,,,,,,,,,,,,,,
324,Ludicolo,Water,Grass,5,2,5,2,5,2,5,2,5,3,6,Swift Swim,Rain Dish,Own Tempo,,,,Amateur,,,,,,,,,,,,,,,,,,
325,Seedot,Grass,,3,1,3,1,3,2,4,1,3,1,3,Chlorophyll,Early Bird,Pickpocket,,Yes,,Starter,,,,,,,,,,,,,,,,,,
326,Nuzleaf,Grass,Dark,4,2,5,2,4,2,4,2,4,1,3,Chlorophyll,Early Bird,Pickpocket,,Yes,,Beginner,,,,,,,,,,,,,,,,,,
327,Shiftry,Grass,Dark,5,3,6,2,5,2,4,2,5,2,4,Chlorophyll,Early Bird,Pickpocket,,,Yes,Amateur,,,,,,,,,,,,,,,,,,
328,Taillow,Normal,Flying,3,2,4,2,5,1,3,1,3,1,3,Guts,,Scrappy,,Yes,,Beginner,,,,,,,,,,,,,,,,,,
329,Swellow,Normal,Flying,4,2,5,3,7,2,4,2,5,2,4,Guts,,Scrappy,,,,Amateur,,,,,,,,,,,,,,,,,,
330,Wingull,Water,Flying,3,1,3,2,5,1,3,2,4,1,3,Keen Eye,Hydration,Rain Dish,,Yes,,Beginner,,,,,,,,,,,,,,,,,,
331,Pelipper,Water,Flying,4,2,4,2,4,3,6,2,5,2,5,Keen Eye,Drizzle,Rain Dish,,,,Amateur,,,,,,,,,,,,,,,,,,
332,Ralts,Psychic,Fairy,3,1,3,1,3,1,3,2,4,1,3,Synchronize,Trace,Telepathy,,Yes,,Beginner,,,,,,,,,,,,,,,,,,
333,Kirlia,Psychic,Fairy,4,1,3,2,4,1,3,2,4,2,4,Synchronize,Trace,Telepathy,,Yes,,Amateur,,,,,,,,,,,,,,,,,,
334,Gardevoir,Psychic,Fairy,5,2,4,2,5,2,4,3,7,3,6,Synchronize,Trace,Telepathy,,,Yes,Ace,,,,,,,,,,,,,,,,,,
335,Mega-Gardevoir,Psychic,Fairy,6,2,5,3,6,2,4,4,8,3,7,Pixilate,,,,,,Pro,,,,,,,,,,,,,,,,,,
336,Surskit,Bug,Water,3,1,3,2,4,1,3,2,4,2,4,Swift Swim,,Rain Dish,,Yes,,Beginner,,,,,,,,,,,,,,,,,,
337,Masquerain,Bug,Flying,4,2,4,2,5,2,4,3,6,2,5,Intimidate,,Unnerve,,,,Amateur,,,,,,,,,,,,,,,,,,
338,Shroomish,Grass,,3,2,4,1,3,2,4,1,3,2,4,Effect Spore,Poison Heal,Quick Feet,,Yes,,Beginner,,,,,,,,,,,,,,,,,,
339,Breloom,Grass,Fighting,4,3,7,2,5,2,5,2,4,2,4,Effect Spore,Poison Heal,Technician,,,,Amateur,,,,,,,,,,,,,,,,,,
